universities_id,universities_name
1077654.0,University of North Carolina at Chapel Hill
1077596.0,University of North Carolina at Asheville
1077578.0,The University of North Carolina at Greensboro
1075692.0,Miami University
1073963.0,North Central Michigan College
1073838.0,Ohio State University
1073789.0,Oberlin College
1072710.0,Общецерковная аспирантура им. Кирилла и Мефодия
1072299.0,Kettering University
1072048.0,Oakland University
1071778.0,УМЦ ЖДТ 
1071586.0,КИСиТ КНЭУ
1070656.0,אוניברסיטת בן גוריון בנגב (Ben-Gurion University of the Negev)
1070404.0,Imo State University
1070320.0,Bowling Green State University
1070082.0,Ashland University
1066511.0,Washington & Jefferson College
1066139.0,Albright College
1064217.0,University of Phoenix - Center City Learning Center
1064216.0,University of Pennsylvania
1064208.0,Philadelphia University
1064207.0,Pennsylvania State University
1064206.0,Peirce College
1064205.0,Orleans Technical Institute
1064202.0,La Salle University
1064196.0,DPT Business School
1063418.0,KNUST
1062959.0,Kutztown University of Pennsylvania
1062605.0,Arcadia University
1061093.0,Bryn Mawr College
1052546.0,University of Baghdad
1047215.0,Мясокомбинат
1046235.0,Rutgers University
1039546.0,University of California - Berkeley
1039131.0,אוניברסיטת בר-אילן (BIU)
1038402.0,HUJI (האוניברסיטה העברית בירושלים)
1036533.0,มหาวิทยาลัยแม่โจ้ (Maejo University)
1036008.0,มหาวิทยาลัยขอนแก่น (Khon Kaen University)
1035098.0,Ajman University of Science & Technology جامعة عجمان للعلوم والتكنولوجيا
1034454.0,אוניברסיטת תל־אביב (TAU)
1031499.0,University of Cape Coast
1025648.0,ВФ МИИТ
1025165.0,Victoria University of Wellington
1024980.0,Muğla Üniversitesi
1024906.0,University of Canterbury
1024781.0,Celal Bayar Üniversitesi
1024761.0,Auckland University of Technology
1022736.0,Kırıkkale Üniversitesi
1022722.0,Dumlupınar Üniversitesi
1022665.0,Selçuk Üniversitesi
1022414.0,Kocaeli Üniversitesi
1022382.0,Erciyes Üniversitesi
1021017.0,Ege Üniversitesi
1021016.0,Dokuz Eylül Üniversitesi
1018038.0,Yıldız Teknik Üniversitesi
1018030.0,Marmara Üniversitesi
1018026.0,İstanbul Teknik Üniversitesi
1018025.0,İstanbul Üniversitesi
1018018.0,İstanbul Bilgi Üniversitesi
1018009.0,Boğaziçi Üniversitesi
1018008.0,Beykent Üniversitesi
1018007.0,Bahçeşehir Üniversitesi
1017890.0,Gaziantep Üniversitesi
1017753.0,Anadolu Üniversitesi
1016435.0,Universiti Brunei Darussalam
1016174.0,אוניברסיטת חיפה (University of Haifa)
1016022.0,הטכניון (Technion – IIT)
1015912.0,LASALLE College of the Arts
1015250.0,Singapore Institute of Management - SIM
1014389.0,Akdeniz Üniversitesi
1014383.0,Orta Doğu Teknik Üniversitesi
1014381.0,Hacettepe Üniversitesi
1014376.0,Başkent Üniversitesi
1014374.0,Ankara Üniversitesi
1014237.0,[Хочешь добавить?Добавляй.....]
1013606.0,Governors State University
1013599.0,Maldives College of Higher Education
1012526.0,Trinity International University
1012482.0,University of Phoenix - Chicago
1012481.0,University of Illinois at Chicago
1012480.0,University of Chicago
1012470.0,Richard J. Daley College
1012464.0,National-Louis University
1012459.0,Lexington College
1012454.0,Illinois Institute of Technology
1012453.0,Illinois Institute of Art
1012444.0,Harry S. Truman College
1012443.0,Harrington College of Design
1012442.0,Harper College
1012438.0,East-West University
1012437.0,DeVry University
1012436.0,DePaul University
1012434.0,Columbia College Chicago
1012433.0,College of Office Technology
1012432.0,Chicago State University
1012430.0,Argosy University - Chicago Campus
1010702.0,not stated
1009500.0,Universitas Indonesia
1009337.0,Мы лишь кучки испражнений жизни
1003451.0,横浜美術短期大学
1001987.0,SEGi University
1001460.0,MMU - Cyberjaya Campus
1000635.0,Florida State University
1000576.0,changwon College
1000478.0,UiTM
998799.0,ИНИОН РАН 
998480.0,Full Sail University
998311.0,New World School of the Arts (New World College)
997801.0,КОНСКИЙ УНИВЕРСИТЕТ ПИТРБУРГА!
996828.0,UM
995391.0,University of Florida
992570.0,San José State University
992558.0,De Anza College
992537.0,California Polytechnic State University - San Luis Obispo
992512.0,University of California - San Diego
992468.0,"California State University, San Marcos"
992415.0,California State University - Sacramento
992343.0,Stanford University
992302.0,Bethesda Christian University
991199.0,Los Angeles Harbor College
991161.0,Los Angeles Mission College
991135.0,"California State University, Northridge"
991116.0,"California State Polytechnic University, Pomona (Cal Poly Pomona)"
991106.0,"California State University, Long Beach"
991067.0,Biola University
991044.0,West Los Angeles College
